date,nav_adjusted,H11009.CSI,excess_nav
2024-02-29,2.1268,1.2402,1.8866
2024-03-01,2.1143,1.238,1.8763
2024-03-04,2.1203,1.2395,1.8808
2024-03-05,2.1113,1.2402,1.8711
2024-03-06,2.1226,1.2419,1.8807
2024-03-07,2.1149,1.2428,1.8721
2024-03-08,2.1139,1.2423,1.8716
2024-03-11,2.1293,1.242,1.8873
2024-03-12,2.1304,1.2397,1.8907
2024-03-13,2.1268,1.2394,1.8874
2024-03-14,2.1619,1.2388,1.9231
2024-03-15,2.1874,1.2395,1.9479
2024-03-18,2.1976,1.2404,1.9572
2024-03-19,2.1742,1.2417,1.9325
2024-03-20,2.1579,1.2418,1.9161
2024-03-21,2.1621,1.2416,1.9205
2024-03-22,2.168,1.2412,1.9268
2024-03-25,2.1912,1.2409,1.9503
2024-03-26,2.2043,1.2411,1.9632
2024-03-27,2.2177,1.242,1.9757
2024-03-28,2.2328,1.2419,1.9909
2024-03-29,2.2514,1.2428,2.0086
2024-04-01,2.2689,1.242,2.0269
2024-04-02,2.2486,1.2431,2.0055
2024-04-03,2.2641,1.244,2.0201
2024-04-08,2.2911,1.2447,2.0464
2024-04-09,2.2852,1.2456,2.0396
2024-04-10,2.2787,1.2452,2.0335
2024-04-11,2.2766,1.2453,2.0313
2024-04-12,2.2967,1.2467,2.05
2024-04-15,2.3101,1.2471,2.063
2024-04-16,2.3053,1.2478,2.0575
2024-04-17,2.3163,1.2483,2.068
2024-04-18,2.3023,1.2499,2.0524
2024-04-19,2.3147,1.25,2.0647
